epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,98.073,0.7974,1.90129,1.36238,0.78251,0.39379,0.42113,0.3154,1.75662,2.3634,1.50068,3.00476e-05,3.00476e-05,3.00476e-05
53,99.8275,0.9688,0.95533,1.36976,0.78251,0.39379,0.42113,0.3154,1.75662,2.3634,1.50068,3.00242e-05,3.00242e-05,3.00242e-05
54,101.953,0.66849,0.84695,1.09828,0.95181,0.39576,0.42169,0.31613,1.7467,2.32407,1.4789,2.99772e-05,2.99772e-05,2.99772e-05
55,103.931,0.62861,0.70592,1.08916,0.95181,0.39576,0.42169,0.31613,1.7467,2.32407,1.4789,2.99066e-05,2.99066e-05,2.99066e-05
56,105.988,0.82871,0.965,1.29495,0.95181,0.39576,0.42169,0.31613,1.7467,2.32407,1.4789,2.98125e-05,2.98125e-05,2.98125e-05
57,107.941,0.70264,0.74044,1.12486,0.9533,0.39543,0.42169,0.31616,1.757,2.34154,1.48563,2.96948e-05,2.96948e-05,2.96948e-05
58,109.933,0.68405,0.89609,1.09207,0.9533,0.39543,0.42169,0.31616,1.757,2.34154,1.48563,2.95535e-05,2.95535e-05,2.95535e-05
59,112.919,0.67085,0.78591,1.07498,0.9533,0.39543,0.42169,0.31616,1.757,2.34154,1.48563,2.93887e-05,2.93887e-05,2.93887e-05
60,114.939,0.57277,0.92563,0.96145,0.95578,0.39385,0.42382,0.29176,1.77417,2.34522,1.49387,2.92003e-05,2.92003e-05,2.92003e-05
61,116.958,0.67516,0.89475,1.16004,0.95578,0.39385,0.42382,0.29176,1.77417,2.34522,1.49387,2.89884e-05,2.89884e-05,2.89884e-05
62,118.899,0.86006,0.88508,1.22981,0.95578,0.39385,0.42382,0.29176,1.77417,2.34522,1.49387,2.87529e-05,2.87529e-05,2.87529e-05
63,120.881,0.83966,0.9366,1.26032,0.96061,0.3918,0.42299,0.29938,1.77871,2.34938,1.49285,2.84938e-05,2.84938e-05,2.84938e-05
64,122.819,0.65322,1.11136,1.12559,0.96061,0.3918,0.42299,0.29938,1.77871,2.34938,1.49285,2.82112e-05,2.82112e-05,2.82112e-05
65,124.721,0.52718,0.63983,1.07584,0.96061,0.3918,0.42299,0.29938,1.77871,2.34938,1.49285,2.7905e-05,2.7905e-05,2.7905e-05
66,127.832,0.79834,1.14113,1.10739,0.96659,0.39295,0.42426,0.30161,1.774,2.36411,1.48671,2.75753e-05,2.75753e-05,2.75753e-05
67,129.84,0.77045,1.02972,1.21783,0.96659,0.39295,0.42426,0.30161,1.774,2.36411,1.48671,2.7222e-05,2.7222e-05,2.7222e-05
68,132.743,0.98215,1.23008,1.38248,0.96659,0.39295,0.42426,0.30161,1.774,2.36411,1.48671,2.68451e-05,2.68451e-05,2.68451e-05
69,134.721,0.60845,0.60285,1.0008,0.97472,0.39628,0.4255,0.30199,1.77101,2.36526,1.49207,2.64447e-05,2.64447e-05,2.64447e-05
70,136.495,1.07894,1.12377,1.40856,0.97472,0.39628,0.4255,0.30199,1.77101,2.36526,1.49207,2.60207e-05,2.60207e-05,2.60207e-05
71,138.293,0.75656,0.57657,1.13619,0.97472,0.39628,0.4255,0.30199,1.77101,2.36526,1.49207,2.55731e-05,2.55731e-05,2.55731e-05
72,140.072,0.71132,0.75461,1.09395,0.77844,0.4,0.42516,0.30145,1.76395,2.36629,1.47612,2.5102e-05,2.5102e-05,2.5102e-05
73,141.841,0.49735,0.6571,0.9498,0.77844,0.4,0.42516,0.30145,1.76395,2.36629,1.47612,2.46073e-05,2.46073e-05,2.46073e-05
74,143.604,0.7878,0.78901,1.22479,0.77844,0.4,0.42516,0.30145,1.76395,2.36629,1.47612,2.40891e-05,2.40891e-05,2.40891e-05
